video_id,title
GGL_USR_ID:3898852286,Ministração/Tudo Entregarei (Ao Vivo)
,Vento Impetuoso (Ao Vivo)
4220569077,Pivotal
3555154918,Faz Parte
gOnp0Kuq-9M,Altar | Brasa Church Music | Liz Johnson
1472766427,Seu Amor Me Venceu (Ao Vivo)
GGL_USR_ID:1472749098,Fontes (Ao Vivo)
2044157346,A Vitória Pela Fé
2032831609,I Really Need You
BIt9dT7Vobo,Tu És Soberano (Clipe Oficial)
GGL_USR_ID:2817177573,Reign Over Me
GGL_USR_ID:1453402168,Deus Nos Amou
GGL_USR_ID:1663492356,De Corações Puros
GGL_USR_ID:1634178716,O Primeiro Natal
2147217584,Espontâneo Salmo 139
EE2jrAaG5jc,Sacode Este Lugar
GGL_USR_ID:3194911195,Conviver (Ao Vivo)
GGL_USR_ID:1795064338,Te Quero Mais Que Tudo (Live on the Agora Tour)
1453402963,Eu Nasci de Novo (Ao Vivo)
1472722493,Minha Esperança Eterna
GGL_USR_ID:1472697641,Não Apenas Com Palavras
GGL_USR_ID:5592806783,Excelso Criador
DJeLA1pyksU,MANHÃ DE SOL AO VIVO  IN TRUST
1472742819,Tudo Que Eu Preciso
5592806263,"Tu És Bem Vindo Aqui, Senhor"
GGL_USR_ID:1453401824,Oceanos / Ocean (Where Feet May Fail)
4273179482,Alto Preço (Ao Vivo)
3007770536,Living Sacrifice (Live)
GGL_USR_ID:5013354666,Batendo à Porta (Espontâneo) (Ao Vivo)
GGL_USR_ID:1472719658,Eu Toco o Céu
GGL_USR_ID:1524247753,Emanuel
n2IXejnDjI8,Um Presente Pro Futuro (Unplugged)
1472768837,Salmos 27:4 (Acústico)
GGL_USR_ID:3032565766,Não Há Deus Como o Senhor
1802741271,Vem Queimar
4123346454,Foi a Sua Mão
5430004937,Salmo 39 (Instrumental)
GGL_USR_ID:3496094177,Jesus (English Version)
1453406896,Doce Espírito
a832cnqQ74E,"Só Tu És Santo Esperança - Giselle Knevitz, Brasa Church Music"
GGL_USR_ID:3862117110,Existe Um Olhar
3007204993,I Just Want You More
,SEU AMOR ME VENCEU
GGL_USR_ID:1631122167,Soberano 7/11
GGL_USR_ID:1453401810,Ajuda-me
1949712410,Sopra Espírito de Deus (Ao Vivo)
GGL_USR_ID:3857469786,Eu Nasci Pro Mar
1472553980,Eu Quero Mais (Ao Vivo)
mZ9yZYo9Mmk,BONDADE DE DEUS 
1472734298,Digno
1453403036,Exaltado em Santidade (Ao Vivo)
4418333876,Minha canção
1453402485,Corpo & Família (Live)
GGL_USR_ID:1623845103,Quero Ser / Lugares Altos / Preciso de Ti / Quero Tocar-te / Leva-me / Águas Purificadoras (Ao Vivo)
1495199381,Lindo Rei
BXvuzDQmMYA,NOVO CD - Eterno Deus - Ensaio Acústico
RvX3pw66ZqM,Live Som Que Alimenta Reunion
